Country,Port,Unlocode,"Vessels In Port","Departures (last 24hrs)","Arrivals (last 24hrs)","Expected Arrivals","Local Time","Related Anchorage","Area Global","Area Local"
Philippines,"SUBIC BAY",PHSFS,41,16,14,12,8,"SUBIC BAY ANCH",Philippines,Philippines
Indonesia,"MERAK ANCH",,40,47,47,3,7,,Indonesia,"Java Sea"
Malaysia,"PORT KLANG ANCH",,40,39,36,0,8,,Indonesia,"Malacca Strait"
Indonesia,BONTANG,IDBXT,38,3,14,20,8,"BONTANG ANCH",Indonesia,"Makassar Strait"
Indonesia,"PALEMBANG ANCH",,38,30,31,2,7,,Indonesia,"Java Sea"
Vietnam,"CAM PHA ANCH",,38,9,10,0,7,,"South-East Asia","South-East Asia"
India,KAKINADA,INKAK,36,5,6,23,5.5,"KAKINADA ANCH","East Coast India","Bengal Bay"
Malaysia,"PASIR GUDANG",MYPGU,36,44,41,23,8,"PASIR GUDANG ANCH",Indonesia,"Singapore Area"
Singapore,SEMBAWANG,SGSEM,36,12,13,1,8,,Indonesia,"Singapore Area"
Indonesia,SAMPIT,IDSMQ,35,6,14,6,7,"SAMPIT ANCH",Indonesia,"Java Sea"
"French Polynesia",PAPEETE,PFPPT,34,28,27,7,-10,,"South Pacific","South Pacific"
Malaysia,"PASIR GUDANG ANCH",,34,34,29,0,8,,Indonesia,"Singapore Area"
Indonesia,PONTIANAK,IDPNK,33,6,8,10,7,"PONTIANAK ANCH",Indonesia,"Java Sea"
Vietnam,"VUNG TAU ANCH",,33,23,25,1,7,,"South-East Asia","South-East Asia"
Thailand,SONGKHLA,THSGZ,32,12,14,22,7,"SONGKHLA ANCH","South-East Asia","Gulf of Thailand"
Malaysia,KEMAMAN,MYKEM,32,13,16,16,8,"KEMAMAN ANCH",Indonesia,"Riau Archipelago"
India,PARADIP,INPRT,31,25,22,39,5.5,"PARADIP ANCH","East Coast India","Bengal Bay"
Indonesia,"BATU AMPAR ANCH",,31,15,15,0,7,,Indonesia,"Singapore Area"
Indonesia,DUMAI,IDDUM,30,28,30,25,7,"DUMAI ANCH",Indonesia,"Malacca Strait"
Vietnam,VINH,VNTVH,30,25,35,9,7,,"South-East Asia","South-East Asia"
Malaysia,LANGKAWI,MYLGK,30,6,8,3,8,"LANGKAWI ANCH",Indonesia,"Malacca Strait"
Russia,"NAKHODKA ANCH",,30,37,33,0,10,,"CIS Pacific","CIS Pacific"
Vietnam,"CAI MEP",VNCMT,29,42,35,8,7,"HO CHI MINH ANCH","South-East Asia","South-East Asia"
Indonesia,"DUMAI ANCH",,28,18,12,1,7,,Indonesia,"Malacca Strait"
Pakistan,KARACHI,PKKHI,27,13,13,32,5,"KARACHI ANCH","West Coast India","West Coast India"
Indonesia,BELAWAN,IDBLW,27,11,10,19,7,"BELAWAN ANCH",Indonesia,"Malacca Strait"
India,TUTICORIN,INTUT,27,7,3,19,5.5,"TUTICORIN ANCH","East Coast India","Laccadive Sea"
India,MORMUGAO,INMRM,27,2,1,8,5.5,"MORMUGAO ANCH","West Coast India","West Coast India"
Malaysia,"LABUAN ANCH",,27,10,6,7,8,,Indonesia,"Riau Archipelago"
Indonesia,"BALIKPAPAN BAY ANCH",,27,32,36,2,8,,Indonesia,"Makassar Strait"
Philippines,BATANGAS,PHBTG,26,61,64,26,8,"BATANGAS BAY",Philippines,Philippines
Indonesia,MERAK,IDMRK,26,98,114,20,7,"MERAK ANCH",Indonesia,"Java Sea"
Pakistan,"PORT QASIM",PKBQM,26,8,6,16,5,"PORT QASIM ANCH","West Coast India","West Coast India"
Indonesia,KENDARI,IDKDI,26,7,7,13,8,,Indonesia,"Banda Sea"
Vietnam,"PHU MY",VNPHU,25,17,16,17,7,"HO CHI MINH ANCH","South-East Asia","South-East Asia"
Russia,KORSAKOV,RUKOR,25,4,9,7,11,"KORSAKOV ANCH","CIS Pacific","Okhotsk Sea"
India,"PORT BLAIR",INIXZ,25,6,6,6,5.5,,"South-East Asia","Andaman Sea"
India,JAIGAD,INJGD,25,7,8,4,5.5,"JAIGAD ANCH","West Coast India","West Coast India"
Indonesia,BENOA,IDBOA,25,10,9,3,8,"BENOA ANCH",Indonesia,Indonesia
India,"NHAVA SHEVA",INNSA,24,37,31,34,5.5,"MUMBAI ANCH","West Coast India","West Coast India"
