Port,Year,Week,"Commercial Market","Commercial Size Class"," Median Waiting Time Off Port Limits","Waiting Time Off Port Limits Confidence Score ","Median Time At Port","Time At Port Confidence Score","Median Waiting Time Off Port Limits  Standard Deviation ","Time At Port Standard Deviation","Median Waiting Time Off Port Limits Difference (week-to-week)","Waiting Time Off Port Limits  % Difference (week-to-week)","Time At Port Difference (week-to-week)","Time At Port % Difference (week-to-week)","Number Of Calls","Number Of Vessels","Port Country",Unlocode
Cigading,2022,17,ALL,ALL,0.3,LOW,4.8,LOW,4.1,4.1,-0.1,-25.0,1.8,60.0,17,16,Indonesia,IDCIG
Bunati,2022,17,ALL,ALL,,LOW,5.8,LOW,,4.9,,,1.5,34.9,13,13,Indonesia,IDBUT
Bontang,2022,17,ALL,ALL,1.3,LOW,2.7,LOW,4.1,12.7,-1.2,-48.0,0.1,3.9,22,21,Indonesia,IDBXT
Bitung,2022,17,ALL,ALL,0.6,LOW,1.9,LOW,2.0,6.5,0.4,200.0,0.7,58.3,16,15,Indonesia,IDBIT
Biringkassi,2022,17,ALL,ALL,1.8,MEDIUM,1.9,MEDIUM,4.7,1.5,-26.2,-93.6,-1.3,-40.6,4,4,Indonesia,IDBIR
Benoa,2022,17,ALL,ALL,0.0,MEDIUM,1.1,MEDIUM,,0.1,-1.1,-100.0,0.1,10.0,2,2,Indonesia,IDBOA
Bengkulu,2022,17,ALL,ALL,0.2,HIGH,1.7,HIGH,0.1,4.7,-0.1,-33.3,0.5,41.7,11,11,Indonesia,IDBKS
Benete,2022,17,ALL,ALL,,MEDIUM,1.3,MEDIUM,,1.1,,,-1.3,-50.0,6,6,Indonesia,IDBEN
Belawan,2022,17,ALL,ALL,0.5,LOW,1.8,LOW,2.2,5.6,-0.1,-16.7,0.4,28.6,43,39,Indonesia,IDBLW
"Batu ampar",2022,17,ALL,ALL,0.6,LOW,0.9,LOW,1.4,10.5,-0.4,-40.0,0.0,0.0,50,27,Indonesia,IDBUR
Banjarmasin,2022,17,ALL,ALL,0.3,LOW,0.9,LOW,0.5,4.9,0.1,50.0,-0.2,-18.2,46,37,Indonesia,IDBDJ
"Banda aceh",2022,17,ALL,ALL,,LOW,0.6,LOW,,0.5,,,0.3,100.0,11,1,Indonesia,IDBTJ
Balikpapan,2022,17,ALL,ALL,2.0,HIGH,1.3,HIGH,2.2,0.7,0.9,81.8,0.0,0.0,38,30,Indonesia,IDBPN
Bakauheni,2022,17,ALL,ALL,,HIGH,0.1,HIGH,,0.3,,,0.0,0.0,640,51,Indonesia,IDTKG
Bajoe,2022,17,ALL,ALL,,HIGH,0.8,HIGH,,0.6,,,0.0,0.0,14,5,Indonesia,
Ambon,2022,17,ALL,ALL,0.0,MEDIUM,1.5,MEDIUM,0.0,0.9,-0.1,-100.0,-0.1,-6.3,10,9,Indonesia,IDAMQ
Amamapare,2022,17,ALL,ALL,1.4,MEDIUM,1.1,MEDIUM,4.6,2.8,0.5,55.6,0.2,22.2,9,8,Indonesia,IDAMA
"Adang bay",2022,17,ALL,ALL,,LOW,2.8,LOW,,1.3,,,-2.4,-46.1,8,8,Indonesia,IDADB
Wayame,2022,16,ALL,ALL,1.0,HIGH,1.3,HIGH,4.6,2.3,0.2,25.0,-0.1,-7.1,16,14,Indonesia,
Waingapu,2022,16,ALL,ALL,,MEDIUM,0.4,MEDIUM,,0.1,,0.0,0.1,33.3,3,2,Indonesia,IDWGP
Tuban,2022,16,ALL,ALL,0.3,LOW,1.8,LOW,1.3,5.5,-1.1,-78.6,0.6,50.0,12,11,Indonesia,IDTBN
Tual,2022,16,ALL,ALL,0.1,LOW,13.3,LOW,0.1,13.5,0.1,0.0,-3.1,-18.9,24,11,Indonesia,IDTUA
Tolitoli,2022,16,ALL,ALL,0.4,LOW,3.4,LOW,,,0.4,0.0,1.1,47.8,1,1,Indonesia,IDTLI
Ternate,2022,16,ALL,ALL,0.6,LOW,16.8,LOW,0.6,11.2,-0.4,-40.0,8.0,90.9,16,6,Indonesia,IDTTE
Telukbayur,2022,16,ALL,ALL,0.3,LOW,2.5,LOW,1.0,3.3,-0.9,-75.0,0.2,8.7,29,20,Indonesia,IDTBR
Tarjun,2022,16,ALL,ALL,4.0,LOW,3.4,LOW,2.0,2.3,2.4,150.0,0.2,6.3,10,9,Indonesia,IDTAR
Tarakan,2022,16,ALL,ALL,1.5,MEDIUM,1.7,MEDIUM,,2.1,-1.2,-44.4,0.4,30.8,3,3,Indonesia,IDTRK
Tarahan,2022,16,ALL,ALL,0.3,LOW,1.1,LOW,,1.5,-0.6,-66.7,0.2,22.2,10,8,Indonesia,IDTRH
"Tanjung uban",2022,16,ALL,ALL,3.5,LOW,0.1,LOW,3.5,0.9,1.6,84.2,0.1,0.0,50,15,Indonesia,IDITN
"Tanjung pemancingan",2022,16,ALL,ALL,,MEDIUM,3.0,MEDIUM,,,,,0.4,15.4,1,1,Indonesia,IDTPN
"Tanjung jati",2022,16,ALL,ALL,3.2,LOW,20.1,LOW,,23.8,2.7,540.0,16.2,415.4,2,2,Indonesia,
"Tanjung bara",2022,16,ALL,ALL,5.8,LOW,1.0,LOW,7.3,1.5,-0.9,-13.4,-0.1,-9.1,10,9,Indonesia,IDTBA
Tangguh,2022,16,ALL,ALL,1.8,LOW,1.4,LOW,1.3,0.9,-0.7,-28.0,0.0,0.0,4,4,Indonesia,
Suralaya,2022,16,ALL,ALL,0.5,HIGH,1.3,HIGH,1.5,1.9,-0.3,-37.5,0.3,30.0,15,11,Indonesia,IDSRL
Surabaya,2022,16,ALL,ALL,0.6,MEDIUM,0.8,MEDIUM,3.1,5.4,0.1,20.0,0.0,0.0,220,158,Indonesia,IDSUB
"Sungai pakning",2022,16,ALL,ALL,0.6,MEDIUM,2.1,MEDIUM,,,-0.1,-14.3,-0.2,-8.7,1,1,Indonesia,IDSEQ
Sorong,2022,16,ALL,ALL,5.9,LOW,1.8,LOW,8.0,12.3,5.1,637.5,0.8,80.0,7,7,Indonesia,IDSOQ
Sibolga,2022,16,ALL,ALL,,LOW,5.7,LOW,,7.8,,,0.9,18.8,5,4,Indonesia,IDSLG
Semarang,2022,16,ALL,ALL,0.5,HIGH,0.8,HIGH,1.5,2.8,0.2,66.7,0.0,0.0,38,33,Indonesia,IDSRG
Saumlaki,2022,16,ALL,ALL,0.5,MEDIUM,1.2,MEDIUM,,0.7,-2.4,-82.8,0.4,50.0,2,2,Indonesia,IDSXK
Sampit,2022,16,ALL,ALL,0.7,LOW,1.3,LOW,0.6,5.4,0.3,75.0,-0.4,-23.5,19,16,Indonesia,IDSMQ
Samarinda,2022,16,ALL,ALL,0.6,LOW,1.4,LOW,,9.8,0.1,20.0,-0.4,-22.2,12,12,Indonesia,IDSRI
Pontianak,2022,16,ALL,ALL,0.7,LOW,2.5,LOW,0.6,5.4,-0.1,-12.5,1.0,66.7,38,33,Indonesia,IDPNK
Pomako,2022,16,ALL,ALL,4.0,MEDIUM,2.6,MEDIUM,4.3,7.0,-0.4,-9.1,1.5,136.4,8,7,Indonesia,IDPMK
Pekanbaru,2022,16,ALL,ALL,,MEDIUM,1.3,MEDIUM,,0.3,,,0.1,8.3,2,2,Indonesia,IDPKU
Panjang,2022,16,ALL,ALL,0.4,HIGH,1.3,HIGH,1.9,0.8,-0.5,-55.6,0.2,18.2,28,25,Indonesia,IDPNJ
"Pangkalan susu",2022,16,ALL,ALL,1.6,MEDIUM,1.1,MEDIUM,0.4,3.5,0.7,77.8,-0.7,-38.9,5,3,Indonesia,IDPKS
Palopo,2022,16,ALL,ALL,,MEDIUM,3.9,MEDIUM,,3.3,,,2.8,254.6,2,2,Indonesia,IDPPO
Palembang,2022,16,ALL,ALL,1.0,HIGH,2.3,HIGH,1.1,2.1,0.1,11.1,-0.3,-11.5,38,35,Indonesia,IDPLM
Paiton,2022,16,ALL,ALL,,MEDIUM,1.6,MEDIUM,,,,,-0.2,-11.1,1,1,Indonesia,IDPAI
Padangbai,2022,16,ALL,ALL,,HIGH,0.1,HIGH,,0.2,,0.0,0.0,0.0,54,12,Indonesia,
Pacitan,2022,16,ALL,ALL,0.0,LOW,0.7,LOW,,,-0.3,-100.0,-1.1,-61.1,1,1,Indonesia,ID5PP
Nunukan,2022,16,ALL,ALL,,MEDIUM,2.3,MEDIUM,,,,,-1.9,-45.2,1,1,Indonesia,IDNNX
"Muara satui",2022,16,ALL,ALL,,LOW,0.0,LOW,,,,0.0,-23.8,-100.0,1,1,Indonesia,IDSTU
"Muara pantai",2022,16,ALL,ALL,0.6,MEDIUM,5.5,MEDIUM,0.7,4.6,0.4,200.0,0.0,0.0,9,9,Indonesia,IDMPN
Meulaboh,2022,16,ALL,ALL,0.1,MEDIUM,0.8,MEDIUM,,0.4,-0.8,-88.9,0.1,14.3,3,3,Indonesia,IDMEQ
Merauke,2022,16,ALL,ALL,0.4,MEDIUM,1.2,MEDIUM,0.4,1.0,-0.3,-42.9,0.2,20.0,5,5,Indonesia,IDMKQ
Merak,2022,16,ALL,ALL,0.3,HIGH,0.0,HIGH,2.1,0.4,-0.2,-40.0,0.0,0.0,634,98,Indonesia,IDMRK
"Mekar putih",2022,16,ALL,ALL,1.0,MEDIUM,1.8,MEDIUM,0.7,0.8,0.0,0.0,0.2,12.5,5,4,Indonesia,
Maumere,2022,16,ALL,ALL,,LOW,0.8,LOW,,,,,-0.7,-46.7,1,1,Indonesia,IDMOF
Manokwari,2022,16,ALL,ALL,0.2,LOW,0.7,LOW,0.3,0.4,-0.8,-80.0,-0.1,-12.5,4,4,Indonesia,IDMKW
Mangkasa,2022,16,ALL,ALL,3.8,MEDIUM,1.1,MEDIUM,,,-8.6,-69.3,-0.1,-8.3,1,1,Indonesia,
Manggis,2022,16,ALL,ALL,1.8,HIGH,1.1,HIGH,3.1,0.5,0.9,100.0,0.0,0.0,10,9,Indonesia,IDMGB
Malahayati,2022,16,ALL,ALL,0.4,MEDIUM,1.1,MEDIUM,0.4,0.6,-0.3,-42.9,-24.3,-95.7,3,3,Indonesia,
Makassar,2022,16,ALL,ALL,0.3,HIGH,0.8,HIGH,1.5,4.4,-0.2,-40.0,-0.1,-11.1,52,46,Indonesia,IDMAK
Luwuk,2022,16,ALL,ALL,,LOW,1.3,LOW,,9.9,,,-0.4,-23.5,7,5,Indonesia,IDLUW
"Lubuk gaung",2022,16,ALL,ALL,0.5,LOW,1.7,LOW,3.7,0.9,-0.8,-61.5,0.7,70.0,21,20,Indonesia,
Lembar,2022,16,ALL,ALL,1.0,LOW,0.2,LOW,0.6,1.1,0.0,0.0,-0.3,-60.0,98,19,Indonesia,IDLBR
"Lawe lawe",2022,16,ALL,ALL,1.8,MEDIUM,2.3,MEDIUM,,0.7,-2.0,-52.6,1.1,91.7,2,2,Indonesia,IDLLA
Labuanabajo,2022,16,ALL,ALL,,LOW,0.3,LOW,,,,,-3.5,-92.1,1,1,Indonesia,IDLBJ
Kupang,2022,16,ALL,ALL,1.0,LOW,1.2,LOW,3.1,12.5,-1.2,-54.5,0.1,9.1,17,15,Indonesia,IDKOE
Kumai,2022,16,ALL,ALL,0.5,LOW,1.1,LOW,1.1,6.6,0.2,66.7,0.2,22.2,12,9,Indonesia,IDKUM
"Krueng geukueh",2022,16,ALL,ALL,0.4,LOW,2.4,LOW,0.6,1.5,0.1,33.3,1.3,118.2,6,6,Indonesia,IDKGH
Kotabaru,2022,16,ALL,ALL,0.1,MEDIUM,1.9,MEDIUM,0.1,12.9,-0.8,-88.9,0.9,90.0,9,9,Indonesia,IDKBU
Kolaka,2022,16,ALL,ALL,,HIGH,0.7,HIGH,,1.0,,,-0.1,-12.5,14,5,Indonesia,IDKOL
Kijang,2022,16,ALL,ALL,,LOW,0.3,LOW,,0.4,,,-0.3,-50.0,2,2,Indonesia,IDKIJ
Ketapang,2022,16,ALL,ALL,2.8,MEDIUM,0.0,MEDIUM,2.4,0.6,2.5,833.3,0.0,0.0,644,35,Indonesia,IDKTG
Kariangau,2022,16,ALL,ALL,0.0,LOW,1.9,LOW,0.9,14.6,0.0,0.0,0.3,18.8,221,30,Indonesia,IDKRG
Kalbut,2022,16,ALL,ALL,0.4,HIGH,1.8,HIGH,,2.4,,,0.5,38.5,17,14,Indonesia,IDKSO
Kalabahi,2022,16,ALL,ALL,,LOW,53.5,LOW,,26.7,,,53.0,10600.0,4,2,Indonesia,IDKBH
Kabil,2022,16,ALL,ALL,0.6,HIGH,0.1,HIGH,0.6,11.1,-0.3,-33.3,0.0,0.0,58,16,Indonesia,IDKAB
Jayapura,2022,16,ALL,ALL,0.7,HIGH,1.3,HIGH,1.5,0.7,-0.5,-41.7,0.0,0.0,14,10,Indonesia,IDDJJ
Jakarta,2022,16,ALL,ALL,0.4,HIGH,1.4,HIGH,1.5,7.2,0.0,0.0,0.2,16.7,246,185,Indonesia,IDJKT
Gresik,2022,16,ALL,ALL,1.0,LOW,2.0,LOW,5.7,5.2,0.0,0.0,-1.0,-33.3,36,36,Indonesia,IDGRE
Gilimanuk,2022,16,ALL,ALL,,HIGH,0.0,HIGH,,0.9,,,0.0,0.0,642,22,Indonesia,IDGIL
Garongkong,2022,16,ALL,ALL,,LOW,37.8,LOW,,,,,6.7,21.5,1,1,Indonesia,
Futong,2022,16,ALL,ALL,2.5,LOW,2.4,LOW,2.2,4.3,-0.5,-16.7,-1.1,-31.4,3,3,Indonesia,IDFTG
"Fak fak",2022,16,ALL,ALL,0.1,LOW,1.0,LOW,,0.6,,,-1.6,-61.5,2,2,Indonesia,IDFKQ
Ende,2022,16,ALL,ALL,0.5,LOW,0.4,LOW,0.1,0.2,0.2,66.7,0.1,33.3,5,5,Indonesia,IDENE
Dumai,2022,16,ALL,ALL,0.6,LOW,1.6,LOW,6.0,1.9,-1.5,-71.4,-0.2,-11.1,35,23,Indonesia,IDDUM
Ciwandan,2022,16,ALL,ALL,0.3,LOW,1.6,LOW,2.0,1.6,0.0,0.0,0.7,77.8,24,21,Indonesia,IDCIW
Cirebon,2022,16,ALL,ALL,0.8,LOW,1.6,LOW,1.4,3.0,0.1,14.3,-0.2,-11.1,10,8,Indonesia,IDCBN
Cilegon,2022,16,ALL,ALL,0.3,LOW,15.7,LOW,,21.9,0.2,200.0,10.7,214.0,6,6,Indonesia,IDCGN
Cilacap,2022,16,ALL,ALL,1.0,HIGH,1.8,HIGH,2.9,1.9,0.2,25.0,0.0,0.0,20,18,Indonesia,IDCXP
Cigading,2022,16,ALL,ALL,0.4,LOW,3.0,LOW,1.6,18.1,0.1,33.3,0.0,0.0,9,9,Indonesia,IDCIG
"Celukan bawang",2022,16,ALL,ALL,0.1,MEDIUM,9.0,MEDIUM,,,-0.5,-83.3,5.9,190.3,1,1,Indonesia,IDCEB
Bunati,2022,16,ALL,ALL,1.9,LOW,4.3,LOW,2.6,2.4,1.8,1800.0,-1.0,-18.9,9,9,Indonesia,IDBUT
Bontang,2022,16,ALL,ALL,0.9,HIGH,3.1,HIGH,1.5,3.1,-1.6,-64.0,0.5,19.2,19,19,Indonesia,IDBXT
Bitung,2022,16,ALL,ALL,0.2,HIGH,1.2,HIGH,1.1,2.9,-0.2,-50.0,0.2,20.0,22,19,Indonesia,IDBIT
Biringkassi,2022,16,ALL,ALL,28.0,LOW,3.2,LOW,39.6,0.8,27.8,13900.0,-0.8,-20.0,2,2,Indonesia,IDBIR
Benoa,2022,16,ALL,ALL,1.1,MEDIUM,1.0,MEDIUM,,0.2,0.8,266.7,-0.1,-9.1,4,3,Indonesia,IDBOA
Bengkulu,2022,16,ALL,ALL,0.3,LOW,1.2,LOW,0.4,2.1,0.3,0.0,-0.3,-20.0,7,7,Indonesia,IDBKS
Benete,2022,16,ALL,ALL,0.3,LOW,2.6,LOW,,3.8,,,1.5,136.4,3,3,Indonesia,IDBEN
Belawan,2022,16,ALL,ALL,0.6,HIGH,1.4,HIGH,2.6,3.9,-0.2,-25.0,-0.3,-17.6,46,42,Indonesia,IDBLW
"Batu ampar",2022,16,ALL,ALL,1.0,LOW,0.9,LOW,1.0,11.5,0.1,11.1,-0.1,-10.0,54,28,Indonesia,IDBUR
Banjarmasin,2022,16,ALL,ALL,0.5,MEDIUM,1.0,MEDIUM,1.8,4.6,0.2,66.7,0.1,11.1,39,33,Indonesia,IDBDJ
"Banda aceh",2022,16,ALL,ALL,,MEDIUM,0.3,MEDIUM,,0.3,,,0.0,0.0,3,1,Indonesia,IDBTJ
Balikpapan,2022,16,ALL,ALL,1.1,LOW,1.3,LOW,2.9,0.9,-1.2,-52.2,0.0,0.0,36,32,Indonesia,IDBPN
Bakauheni,2022,16,ALL,ALL,,HIGH,0.1,HIGH,,0.5,,0.0,0.0,0.0,585,49,Indonesia,IDTKG
Bajoe,2022,16,ALL,ALL,,HIGH,0.8,HIGH,,0.9,,,0.0,0.0,14,5,Indonesia,
Ampenan,2022,16,ALL,ALL,0.0,MEDIUM,0.8,MEDIUM,0.0,0.1,,,0.0,0.0,3,2,Indonesia,IDAMP
Ambon,2022,16,ALL,ALL,0.1,LOW,1.6,LOW,1.3,1.2,-18.0,-99.5,0.0,0.0,12,8,Indonesia,IDAMQ
Amamapare,2022,16,ALL,ALL,0.9,LOW,0.9,LOW,0.3,1.4,-1.3,-59.1,-0.2,-18.2,9,7,Indonesia,IDAMA
"Adang bay",2022,16,ALL,ALL,,LOW,5.2,LOW,,1.5,,0.0,-1.6,-23.5,10,10,Indonesia,IDADB
Wayame,2022,15,ALL,ALL,0.8,HIGH,1.4,HIGH,0.8,4.8,-0.5,-38.5,-0.1,-6.7,14,14,Indonesia,
Waingapu,2022,15,ALL,ALL,0.0,LOW,0.3,LOW,,0.4,-0.3,-100.0,0.0,0.0,7,6,Indonesia,IDWGP
Tuban,2022,15,ALL,ALL,1.4,LOW,1.2,LOW,1.2,1.0,0.8,133.3,0.1,9.1,15,15,Indonesia,IDTBN
Tual,2022,15,ALL,ALL,0.0,LOW,16.4,LOW,0.1,11.0,-1.1,-100.0,10.9,198.2,21,9,Indonesia,IDTUA
Ternate,2022,15,ALL,ALL,1.0,LOW,8.8,LOW,,5.7,0.8,400.0,8.4,2100.0,14,4,Indonesia,IDTTE
Telukbayur,2022,15,ALL,ALL,1.2,HIGH,2.3,HIGH,1.7,9.0,0.7,140.0,0.4,21.1,25,23,Indonesia,IDTBR
Tarjun,2022,15,ALL,ALL,1.6,LOW,3.2,LOW,,0.9,-4.9,-75.4,2.0,166.7,3,3,Indonesia,IDTAR
Tarakan,2022,15,ALL,ALL,2.7,MEDIUM,1.3,MEDIUM,1.8,0.4,1.3,92.9,-1.0,-43.5,5,5,Indonesia,IDTRK
Tarahan,2022,15,ALL,ALL,0.9,HIGH,0.9,HIGH,9.5,4.1,0.4,80.0,-0.4,-30.8,12,10,Indonesia,IDTRH
"Tanjung uban",2022,15,ALL,ALL,1.9,LOW,0.0,LOW,2.1,5.6,0.1,5.6,-0.1,-100.0,42,16,Indonesia,IDITN
"Tanjung pemancingan",2022,15,ALL,ALL,0.1,MEDIUM,2.6,MEDIUM,,,-1.6,-94.1,0.0,0.0,1,1,Indonesia,IDTPN
"Tanjung jati",2022,15,ALL,ALL,0.5,LOW,3.9,LOW,0.6,4.8,0.5,0.0,0.0,0.0,5,4,Indonesia,
"Tanjung bara",2022,15,ALL,ALL,6.7,LOW,1.1,LOW,13.5,1.5,-6.7,-50.0,-0.1,-8.3,7,7,Indonesia,IDTBA
Tangguh,2022,15,ALL,ALL,0.7,LOW,1.8,LOW,0.6,4.0,-1.8,-72.0,0.4,28.6,3,3,Indonesia,
Suralaya,2022,15,ALL,ALL,0.8,HIGH,1.0,HIGH,2.3,1.9,-0.1,-11.1,-1.0,-50.0,17,14,Indonesia,IDSRL
Surabaya,2022,15,ALL,ALL,0.5,LOW,0.8,LOW,1.8,4.1,-0.3,-37.5,-0.1,-11.1,257,168,Indonesia,IDSUB
"Sungai pakning",2022,15,ALL,ALL,0.7,LOW,2.3,LOW,2.2,0.1,,,1.8,360.0,3,3,Indonesia,IDSEQ
Sorong,2022,15,ALL,ALL,0.3,LOW,2.0,LOW,0.5,10.8,-0.1,-25.0,1.5,300.0,6,6,Indonesia,IDSOQ
Sibolga,2022,15,ALL,ALL,,LOW,4.9,LOW,,5.4,,,2.9,145.0,4,3,Indonesia,IDSLG
Semarang,2022,15,ALL,ALL,0.3,HIGH,0.8,HIGH,1.0,3.5,-0.3,-50.0,-0.1,-11.1,47,39,Indonesia,IDSRG
Saumlaki,2022,15,ALL,ALL,0.0,MEDIUM,0.6,MEDIUM,,0.1,-0.1,-100.0,-0.7,-53.9,2,2,Indonesia,IDSXK
Sampit,2022,15,ALL,ALL,0.4,HIGH,1.7,HIGH,1.3,6.0,-0.1,-20.0,-1.7,-50.0,15,14,Indonesia,IDSMQ
Samarinda,2022,15,ALL,ALL,0.7,LOW,2.1,LOW,0.2,19.3,0.2,40.0,0.3,16.7,16,14,Indonesia,IDSRI
Pontianak,2022,15,ALL,ALL,0.6,LOW,2.0,LOW,0.4,4.5,-0.2,-25.0,0.5,33.3,35,30,Indonesia,IDPNK
Pomalaa,2022,15,ALL,ALL,,MEDIUM,2.8,MEDIUM,,,,,0.3,12.0,1,1,Indonesia,IDPUM
Pomako,2022,15,ALL,ALL,4.4,LOW,1.1,LOW,4.1,5.7,3.9,780.0,-2.4,-68.6,7,6,Indonesia,IDPMK
Pekanbaru,2022,15,ALL,ALL,,MEDIUM,1.2,MEDIUM,,,,,-1.2,-50.0,1,1,Indonesia,IDPKU
Panjang,2022,15,ALL,ALL,0.9,LOW,1.1,LOW,1.3,2.5,-0.2,-18.2,-1.0,-47.6,31,28,Indonesia,IDPNJ
"Pangkalan susu",2022,15,ALL,ALL,0.9,LOW,1.8,LOW,0.5,2.4,0.1,12.5,-0.2,-10.0,4,2,Indonesia,IDPKS
Palopo,2022,15,ALL,ALL,0.1,LOW,1.1,LOW,,,,,-16.9,-93.9,1,1,Indonesia,IDPPO
Palembang,2022,15,ALL,ALL,0.9,LOW,2.6,LOW,1.4,3.0,-0.4,-30.8,-1.3,-33.3,31,31,Indonesia,IDPLM
Paiton,2022,15,ALL,ALL,0.1,MEDIUM,1.8,MEDIUM,1.1,1.5,-1.2,-92.3,0.4,28.6,4,4,Indonesia,IDPAI
Padangbai,2022,15,ALL,ALL,0.0,HIGH,0.1,HIGH,0.1,0.3,0.0,0.0,0.0,0.0,42,11,Indonesia,
Pacitan,2022,15,ALL,ALL,0.8,LOW,2.2,LOW,,,0.5,166.7,0.4,22.2,1,1,Indonesia,ID5PP
Nunukan,2022,15,ALL,ALL,1.0,LOW,4.2,LOW,,1.7,,,0.9,27.3,3,3,Indonesia,IDNNX
"Muara satui",2022,15,ALL,ALL,,MEDIUM,5.0,MEDIUM,,4.2,,,-1.1,-18.0,2,2,Indonesia,IDSTU
"Muara pantai",2022,15,ALL,ALL,0.2,HIGH,5.5,HIGH,,2.7,-0.1,-33.3,0.7,14.6,11,11,Indonesia,IDMPN
"Migas lng batui",2022,15,ALL,ALL,,LOW,1.8,LOW,,2.6,,,0.0,0.0,3,2,Indonesia,
Meulaboh,2022,15,ALL,ALL,0.9,LOW,0.7,LOW,,0.5,,,-0.2,-22.2,2,2,Indonesia,IDMEQ
Merauke,2022,15,ALL,ALL,0.7,LOW,1.0,LOW,0.2,0.4,-0.1,-12.5,-6.0,-85.7,3,3,Indonesia,IDMKQ
Merak,2022,15,ALL,ALL,0.6,HIGH,0.0,HIGH,3.1,1.8,0.3,100.0,0.0,0.0,628,102,Indonesia,IDMRK
"Mekar putih",2022,15,ALL,ALL,0.6,LOW,0.8,LOW,0.6,0.6,-0.4,-40.0,-0.8,-50.0,3,3,Indonesia,
Maumere,2022,15,ALL,ALL,,MEDIUM,1.5,MEDIUM,,1.0,,,-0.2,-11.8,5,4,Indonesia,IDMOF
Manokwari,2022,15,ALL,ALL,0.5,MEDIUM,0.8,MEDIUM,,0.3,-0.5,-50.0,0.0,0.0,6,5,Indonesia,IDMKW
Manggis,2022,15,ALL,ALL,0.9,HIGH,1.1,HIGH,1.2,4.6,0.4,80.0,0.1,10.0,14,12,Indonesia,IDMGB
Malili,2022,15,ALL,ALL,,MEDIUM,1.9,MEDIUM,,,,,-0.6,-24.0,1,1,Indonesia,IDMLI
Malahayati,2022,15,ALL,ALL,0.7,LOW,25.4,LOW,,,0.1,16.7,24.3,2209.1,1,1,Indonesia,
Makassar,2022,15,ALL,ALL,0.5,HIGH,0.9,HIGH,1.3,3.2,0.2,66.7,0.1,12.5,47,45,Indonesia,IDMAK
Luwuk,2022,15,ALL,ALL,,MEDIUM,1.9,MEDIUM,,1.2,,,0.2,11.8,4,4,Indonesia,IDLUW
"Lubuk gaung",2022,15,ALL,ALL,1.3,LOW,1.0,LOW,1.8,1.1,0.2,18.2,-0.4,-28.6,24,23,Indonesia,
Lembar,2022,15,ALL,ALL,1.0,LOW,0.5,LOW,1.3,1.8,0.0,0.0,0.2,66.7,97,25,Indonesia,IDLBR
"Lawe lawe",2022,15,ALL,ALL,0.3,MEDIUM,3.7,MEDIUM,,,0.0,0.0,1.2,48.0,1,1,Indonesia,IDLLA
Labuanabajo,2022,15,ALL,ALL,,MEDIUM,3.8,MEDIUM,,3.3,,,3.2,533.3,3,2,Indonesia,IDLBJ
Kupang,2022,15,ALL,ALL,2.2,HIGH,1.1,HIGH,2.8,2.2,1.3,144.4,0.0,0.0,16,16,Indonesia,IDKOE
Kumai,2022,15,ALL,ALL,0.3,HIGH,0.9,HIGH,0.2,1.5,-3.5,-92.1,-0.2,-18.2,11,8,Indonesia,IDKUM
"Krueng geukueh",2022,15,ALL,ALL,0.3,LOW,1.1,LOW,0.3,0.8,0.1,50.0,-0.3,-21.4,6,5,Indonesia,IDKGH
Kotabaru,2022,15,ALL,ALL,0.9,MEDIUM,1.0,MEDIUM,1.1,8.3,,,,,9,8,Indonesia,IDKBU
Kolaka,2022,15,ALL,ALL,0.4,HIGH,0.8,HIGH,0.1,0.6,,,0.0,0.0,14,7,Indonesia,IDKOL
Kijang,2022,15,ALL,ALL,0.3,MEDIUM,0.6,MEDIUM,0.1,0.4,0.0,0.0,0.0,0.0,6,6,Indonesia,IDKIJ
Ketapang,2022,15,ALL,ALL,0.3,HIGH,0.0,HIGH,1.4,0.4,,,,,671,38,Indonesia,IDKTG
Kariangau,2022,15,ALL,ALL,0.0,MEDIUM,1.6,MEDIUM,1.9,14.1,0.0,0.0,0.6,60.0,263,37,Indonesia,IDKRG
Kalbut,2022,15,ALL,ALL,,HIGH,1.3,HIGH,,2.4,,,-1.1,-45.8,19,15,Indonesia,IDKSO
Kalabahi,2022,15,ALL,ALL,3.4,MEDIUM,0.5,MEDIUM,,21.0,,,-0.4,-44.4,5,5,Indonesia,IDKBH
Kabil,2022,15,ALL,ALL,0.6,LOW,0.2,LOW,3.2,8.5,-0.6,-50.0,0.1,100.0,46,16,Indonesia,IDKAB
Jayapura,2022,15,ALL,ALL,1.5,LOW,1.6,LOW,0.5,0.7,1.5,0.0,0.6,60.0,4,4,Indonesia,IDDJJ
Jakarta,2022,15,ALL,ALL,0.4,LOW,1.2,LOW,2.4,8.3,0.1,33.3,-0.1,-7.7,249,206,Indonesia,IDJKT
Gresik,2022,15,ALL,ALL,1.0,HIGH,3.0,HIGH,4.1,3.7,0.5,100.0,0.6,25.0,41,40,Indonesia,IDGRE
Gilimanuk,2022,15,ALL,ALL,,HIGH,0.0,HIGH,,1.4,,,0.0,0.0,668,22,Indonesia,IDGIL
Garongkong,2022,15,ALL,ALL,,LOW,31.1,LOW,,,,,13.6,77.7,1,1,Indonesia,
Futong,2022,15,ALL,ALL,3.0,MEDIUM,3.5,MEDIUM,3.1,7.1,1.6,114.3,-0.6,-14.6,4,4,Indonesia,IDFTG
